partOfSpeech,word
adjective,건강한
adjective,안전한
adjective,깨끗한
adjective,밝은
adjective,좋은
adjective,행복한
adjective,맛있는
adjective,기쁨을 주는
adjective,친절한
adjective,사랑스러운
adjective,상쾌한
adjective,즐거운
adjective,조용한
adjective,평화로운
adjective,소중한
noun,가방
noun,가족
noun,감정
noun,강아지
noun,감사
noun,개미
noun,고래
noun,공원
noun,꿈
noun,기분
noun,기념일
noun,그림
noun,길
noun,고슴도치
noun,고양이
noun,구름
noun,꽃
noun,갯벌
noun,감자
noun,금요일
noun,구슬
noun,귀여움
noun,과일
noun,그늘
noun,감성
noun,계획
noun,가격
noun,가위
noun,고백
noun,고향
noun,골프
noun,기차
noun,기적
noun,고백자
noun,곰
noun,공기
noun,갈매기
noun,고개
noun,곡식
noun,권리
noun,개선
noun,갈대
noun,균형
noun,교훈
noun,간식
noun,급식
noun,관찰
noun,고모
noun,고구마
noun,나무
noun,나비
noun,날씨
noun,농장
noun,놀이
noun,눈빛
noun,뉴스
noun,느낌
noun,넓이
noun,노래
noun,노을
noun,나침반
noun,낙엽
noun,나절
noun,날개
noun,너비
noun,논리
noun,녹음
noun,나이
noun,나라
noun,낚시
noun,노력
noun,네트워크
noun,농부
noun,노트
noun,내기
noun,냉장고
noun,내일
noun,노선
noun,낙찰
noun,낙엽
noun,나뭇잎
noun,나비효과
noun,농첩
noun,녹차
noun,논문
noun,느림보
noun,냄비
noun,낙관
noun,누리
noun,뉴스레터
noun,내과
noun,낭만
noun,농촌
noun,냉동
noun,나머지
noun,넓은
noun,노릇
noun,다리
noun,단추
noun,도서관
noun,도전
noun,동물
noun,드라마
noun,디자인
noun,대화
noun,대중
noun,다양한
noun,도시
noun,다람쥐
noun,담임
noun,단체
noun,대지
noun,동기
noun,동행
noun,동화
noun,덩이
noun,대장
noun,대회
noun,도로
noun,당근
noun,달력
noun,돌잔치
noun,다과
noun,단면
noun,대리
noun,드라이브
noun,대사
noun,득점
noun,돼지
noun,도장
noun,담배
noun,도미노
noun,독서
noun,다짐
noun,다이빙
noun,동물원
noun,대문
noun,동네
noun,대칭
noun,드릴
noun,달콤함
noun,담배연기
noun,대가
noun,담임교사
noun,대형
noun,다이어트
noun,달팽이
noun,라디오
noun,레몬
noun,리본
noun,리더
noun,로봇
noun,리프레시
noun,러닝
noun,랜드마크
noun,루비
noun,라이브
noun,롤러코스터
noun,립스틱
noun,레터링
noun,리더십
noun,러브
noun,렌즈
noun,리듬
noun,리스
noun,리미트
noun,리프트
noun,리셋
noun,로션
noun,롤링
noun,라일락
noun,레벨
noun,랭크
noun,로얄
noun,리얼
noun,루틴
noun,로지
noun,마을
noun,나무
noun,마음
noun,무지개
noun,미소
noun,목표
noun,미술
noun,맛
noun,모양
noun,무게
noun,멜로디
noun,모험
noun,명절
noun,목소리
noun,미소
noun,메시지
noun,마법
noun,마스크
noun,먼지
noun,묘기
noun,문제
noun,문화
noun,맞춤법
noun,미세
noun,문서
noun,모델
noun,마련
noun,맑음
noun,마카롱
noun,맛집
noun,마음가짐
noun,만남
noun,명함
noun,미생물
noun,마음대로
noun,민들레
noun,매운맛
noun,마르지 않음
noun,메모리
noun,미세먼지
noun,멋
noun,만화
noun,멸종
noun,마라톤
noun,물체
noun,무선
noun,방법
noun,배움
noun,마리
noun,문학
noun,바람
noun,바다
noun,별
noun,보물
noun,보살핌
noun,부엌
noun,부족
noun,브랜드
noun,방울
noun,배움
noun,방문
noun,백화점
noun,분수
noun,버튼
noun,비누
noun,비성
noun,부탁
noun,믿음
noun,바구니
noun,바위
noun,밭
noun,보호
noun,분리
noun,배경
noun,브로콜리
noun,방송
noun,바나나
noun,번역
noun,볼링
noun,방안
noun,비트
noun,밝혀짐
noun,반찬
noun,볶음밥
noun,분석
noun,범위
noun,바닥
noun,본질
noun,바탕
noun,봉사
noun,사랑
noun,사과
noun,상상
noun,스포츠
noun,신뢰
noun,시계
noun,손길
noun,소원
noun,솔직
noun,순수
noun,사전
noun,사람
noun,새벽
noun,샘물
noun,상처
noun,시나리오
noun,조회
noun,시설
noun,시장
noun,식사
noun,습관
noun,시도
noun,수업
noun,스승
noun,수확
noun,수록
noun,선수
noun,섬
noun,성과
noun,실내
noun,심지
noun,심리
noun,심장
noun,신기
noun,술잔
noun,수리
noun,수소
noun,수레
noun,수수께끼
noun,실패
noun,시각
noun,실험
noun,스트레스
noun,서양
noun,설정
noun,아침
noun,아름다움
noun,연구
noun,에너지
noun,옷장
noun,의미
noun,운동
noun,원예
noun,유아
noun,약속
noun,아이디어
noun,어린이
noun,얼음
noun,어머니
noun,의사
noun,엄마
noun,응원
noun,의자
noun,양식
noun,요리
noun,예술
noun,잔치
noun,여름
noun,연주
noun,유혹
noun,야구
noun,어린이집
noun,음악
noun,연결
noun,양말
noun,요구
noun,사업
noun,이웃
noun,이유
noun,이야말
noun,자전거
noun,장소
noun,장미
noun,장난감
noun,자유
noun,자식
noun,작업
noun,자격
noun,자원
noun,자세
noun,장점
noun,잔디
noun,자극
noun,조화
noun,좋은
noun,족보
noun,저울
noun,저녁
noun,정보
noun,조각
noun,주말
noun,지식
noun,지도
noun,지갑
noun,지붕
noun,집
noun,진실
noun,종이
noun,주스
noun,재료
noun,조리
noun,전통
noun,진달래
noun,진주
noun,자원봉사
noun,졸업
noun,조명이
noun,정색
noun,정신
noun,줌
noun,조기
noun,제공
noun,지구
noun,진료
noun,증명서
noun,진실성
noun,진행
noun,주식
noun,좋은
noun,전시
noun,차
noun,창문
noun,친구
noun,축제
noun,추억
noun,채소
noun,계약
noun,청소
noun,처음
noun,칠판
noun,치즈
noun,차이
noun,치마
noun,치아
noun,차원
noun,찬물
noun,채널
noun,챔피언
noun,참깨
noun,채권
noun,출발
noun,침대
noun,착한
noun,차별
noun,초록
noun,체험
noun,찜질방
noun,칭찬
noun,창고
noun,청춘
noun,처방전
noun,청정
noun,차도
noun,친환경
noun,창작
noun,채택
noun,촉각
noun,초대
noun,청소년
noun,춤
noun,차넣기
noun,초코릿
noun,책상
noun,챙김
noun,축하
noun,초대장
noun,출처
noun,처소
noun,체계
noun,친구사이
noun,카메라
noun,커피
noun,칼
noun,키
noun,크기
noun,클럽
noun,컵
noun,캐릭터
noun,캔디
noun,카드
noun,캠퍼스
noun,쿡북
noun,크레딧
noun,체스
noun,그리고
noun,칠
noun,키스
noun,코스
noun,콘텐츠
noun,컴퓨터
noun,컷
noun,코코아
noun,캠페인
noun,크리켓
noun,커터
noun,커넥터
noun,코트
noun,캐치
noun,코인
noun,키보드
noun,크레딧
noun,컨셉
noun,키워드
noun,키트
noun,카페
noun,커플
noun,칩
noun,케이스
noun,컴퍼스
noun,카운터
noun,커넥션
noun,코드
noun,클라우드
noun,컷팅
noun,카운트
noun,클렌징
noun,코어
noun,커뮤널
noun,칼라
noun,컵케이크
noun,타인
noun,태양
noun,태도
noun,테이블
noun,탐험
noun,타올
noun,테스트
noun,통화
noun,타입
noun,팀
noun,틀
noun,트리
noun,튜브
noun,토끼
noun,통증
noun,틈새
noun,탕
noun,트레인
noun,탈출
noun,탄생
noun,틀림
noun,탈
noun,퇴원
noun,테크닉
noun,타이밍
noun,투표
noun,태풍
noun,타락
noun,통로
noun,트렌드
noun,텍스트
noun,통계
noun,통합
noun,숙제
noun,통제
noun,투명
noun,태도
noun,타이틀
noun,테마
noun,풀
noun,박물관
noun,태풍
noun,템플릿
noun,톡톡
noun,탑승
noun,타운
noun,턱
noun,한도
noun,탑
noun,트리거
noun,파도
noun,편안함
noun,포도
noun,풍선
noun,평화
noun,플라스틱
noun,패턴
noun,폭포
noun,편지
noun,평화롭다
noun,판다
noun,프로그램
noun,팔찌
noun,필름
noun,피아노
noun,펜
noun,패키지
noun,포켓
noun,피자
noun,플라워
noun,픽셸
noun,프로젝트
noun,판마다
noun,평가
noun,편지지
noun,평면
noun,퍼즐
noun,페이지
noun,핸드백
noun,포지션
noun,패스
noun,파트너
noun,페이지
noun,하늘
noun,행복
noun,하루
noun,흔들림
noun,후기
noun,허락
noun,흥미
noun,해바라기
noun,호수
noun,황금
noun,흰색
noun,한강
noun,향기
noun,횡단보도
noun,하수
noun,희망
noun,화분
noun,향신료
noun,호박
noun,햇살
noun,호감
noun,현미경
noun,해변
noun,화면
noun,호흡
noun,헌신
noun,활동
noun,한심
noun,행복감
noun,활기
noun,화장
noun,헬스
noun,한정
noun,혼자
noun,항구
noun,힐링
noun,화요일
adverb,자주
adverb,항상
adverb,가끔
adverb,금방
adverb,쉽게
adverb,천천히
adverb,직접
adverb,조용히
adverb,빠르게
adverb,슬며시
adverb,갑자기
adverb,아마
adverb,정말
adverb,다정히
adverb,소중히
adverb,편안히
adverb,밝게
adverb,온전히
adverb,깔끔히
adverb,간편히
adverb,효과적으로
adverb,부드럽게
adverb,깊이
adverb,강하게
adverb,조심스럽게
adverb,차분히
adverb,순조롭게
adverb,나름대로
adverb,신중히